name,country,population,aliases
Petrolina,BR,386791,彼得羅利納
Paulo Afonso,BR,112870,保罗·阿方索城
Paulista,BR,342167,
Parnaíba,BR,138008,巴纳伊巴
Parintins,BR,101956,
Paragominas,BR,105550,
Olinda,BR,366754,奧林達
Natal,BR,896708,
Mossoró,BR,264577,Moçoró|莫索罗
Maranguape,BR,105093,
Maracanaú,BR,234509,
Marabá,BR,145860,马拉巴
Maceió,BR,1031597,Maçayó|马塞约
Macapá,BR,512902,馬卡帕
Juazeiro do Norte,BR,225230,北茹阿澤魯
Juazeiro,BR,237821,
João Pessoa,BR,817511,Cidade Felipéa|Frederícia|Paraíba|若昂佩索阿
Itacoatiara,BR,112520,
Itapipoca,BR,131123,
Itaituba,BR,123314,
Ipojuca,BR,105638,
Imperatriz,BR,218106,因佩拉特里斯
Igarassu,BR,122312,Iguarassú|伊加拉苏
Garanhuns,BR,151064,
Fortaleza,BR,2400000,Ceará|福塔雷萨|福塔雷薩
Crato,BR,131050,克拉图
Codó,BR,114275,
Caxias,BR,156973,卡希亚斯
Caucaia,BR,355679,
Castanhal,BR,192256,卡斯塔尼亞爾
Campina Grande,BR,348936,大坎皮納
Cametá,BR,134184,
Camaragibe,BR,155771,
Breves,BR,106968,
Bragança,BR,123082,
Belém,BR,1499641,Belem do Pará|Pará|贝伦
Barcarena,BR,126650,
Balsas,BR,101767,
Bacabal,BR,103711,
Arapiraca,BR,243661,
Araguaína,BR,105019,阿拉瓜伊纳
Ananindeua,BR,433956,阿納寧德瓦
Altamira,BR,126279,阿爾塔米拉
Abreu e Lima,BR,103945,阿布雷乌埃利马
Abaetetuba,BR,158188,Abaeté
Votorantim,BR,127923,
Volta Redonda,BR,279898,沃尔塔雷东达
Vitória da Conquista,BR,253137,维多利亚-达孔基斯塔
Vitória,BR,312656,
Vila Velha,BR,394930,韦利亚镇
Viamão,BR,285269,维亚芒
Vespasiano,BR,129246,
Várzea Paulista,BR,115771,
Várzea Grande,BR,314627,
Varginha,BR,136467,瓦尔任阿
Valinhos,BR,126373,瓦利尼乌斯
Uruguaiana,BR,123480,乌鲁瓜亚纳
Umuarama,BR,117095,
Uberlândia,BR,563536,烏貝蘭迪亞
Uberaba,BR,337836,烏貝拉巴
Ubá,BR,103365,乌巴
Tubarão,BR,110088,图巴朗
Trindade,BR,142431,特林达迪
Toledo,BR,119313,
Teresópolis,BR,176692,特雷索波利斯
Teófilo Otoni,BR,101170,Teófilo Otôni|特奥菲卢奥托尼
Suzano,BR,307429,蘇扎諾
Sete Lagoas,BR,227397,
Sertãozinho,BR,126887,
Serra,BR,520653,
Senador Canedo,BR,118451,
Sarandi,BR,118455,
Sapucaia do Sul,BR,132107,Açapucaí|Güianuba
São Vicente,BR,329911,聖維森特市
São Pedro da Aldeia,BR,110556,圣佩德罗-达阿尔德亚
São Paulo,BR,12400232,圣保罗|聖保羅
São Mateus,BR,123752,
São Leopoldo,BR,209229,圣利奥波尔杜
São José dos Pinhais,BR,329628,São José dos Pinhaes|聖若澤杜斯皮尼艾斯
São José,BR,200000,
São José,BR,270299,圣若泽
São João de Meriti,BR,466536,聖若昂迪梅里蒂
São Carlos,BR,205035,聖卡洛斯
São Caetano do Sul,BR,165655,
São Bernardo do Campo,BR,743372,
Santo Antônio de Jesus,BR,103055,
Santo André,BR,662373,Santo André (São Paulo)
